episode_id,application,agent_architecture,environment,expected_action,sensor_confidence,risk_level,environment_volatility,partial_observability,energy_or_resource_level,response_time_ms,available_actions,prior_success_rate,random_noise,rational_action,utility_score,observability_label,dynamic_label,determinism_label
4009,Warehouse Robot,Utility-Based,Windy,Use Wind Protection,0.7903,0.5466,0.427,0.4414,38.12,232.76,6,0.7574,0.3703,0,60.1,Partially Observable,Static,Deterministic
4010,AI Travel Assistant,Utility-Based,Sunny,Go Outside,0.6926,0.4044,0.3941,0.5164,57.39,121.4,9,0.9291,-0.954,0,49.98,Fully Observable,Static,Deterministic
4011,Smart Hospital Assistant,Utility-Based,Snowy,Wear Winter Gear,0.7819,0.2627,0.3572,0.1905,62.16,212.3,6,0.795,-0.9673,1,86.49,Fully Observable,Static,Stochastic
4012,Intelligent Tutoring System,Utility-Based,Snowy,Wear Winter Gear,0.6162,0.7452,0.2819,0.3694,88.6,292.82,13,0.6512,1.9391,0,32.83,Fully Observable,Dynamic,Deterministic
4013,Warehouse Robot,Model-Based,Stormy,Stay Inside,0.9481,0.0473,0.4625,0.474,83.97,242.62,3,0.7776,-1.0548,1,100,Fully Observable,Static,Stochastic
4014,AI Travel Assistant,Learning,Sunny,Go Outside,0.8905,0.3965,0.4123,0.3436,72.49,150.27,7,0.5568,1.0772,1,95.24,Partially Observable,Dynamic,Stochastic
4015,Warehouse Robot,Utility-Based,Snowy,Wear Winter Gear,0.859,0.0215,0.2419,0.3248,62.59,21.52,6,0.5098,-0.7001,1,100,Fully Observable,Dynamic,Stochastic
4016,Warehouse Robot,Model-Based,Sunny,Go Outside,0.5497,0.5872,0.3243,0.4642,28.56,158.61,10,0.7072,-2.4817,0,32.53,Fully Observable,Static,Deterministic
4017,Autonomous Delivery Robot,Goal-Based,Rainy,Use Umbrella,0.7536,0.0297,0.3893,0.2679,67.93,344.91,11,0.8201,-2.2119,1,87.2,Fully Observable,Dynamic,Stochastic
4018,AI Travel Assistant,Learning,Cloudy,Stay Inside,1,0.1563,0.2065,0.5973,100,346.89,3,0.8046,-0.8268,1,86.85,Fully Observable,Static,Deterministic
4019,Intelligent Tutoring System,Utility-Based,Stormy,Stay Inside,1,0.3868,0.5007,0.1925,70.17,157.24,9,0.8282,-1.0043,1,93.52,Partially Observable,Dynamic,Stochastic
4020,Autonomous Delivery Robot,Utility-Based,Sunny,Go Outside,0.6606,0.0556,0.5319,0.408,37.07,107.37,2,0.8269,0.0128,1,77.32,Partially Observable,Dynamic,Deterministic
4021,AI Travel Assistant,Goal-Based,Cloudy,Stay Inside,0.8624,0.2409,0.6176,0.8634,83.21,66.42,14,0.9246,0.7604,1,78.54,Partially Observable,Dynamic,Stochastic
4022,Autonomous Delivery Robot,Model-Based,Rainy,Use Umbrella,0.9072,0.3892,0.5691,0.048,84.03,153.42,6,0.99,0.3082,1,82.84,Fully Observable,Static,Stochastic
4023,AI Travel Assistant,Learning,Windy,Use Wind Protection,0.7079,0.4769,0.1132,0.4855,81.84,174.14,7,0.8003,1.1941,1,80.61,Partially Observable,Static,Stochastic
4024,Autonomous Vehicle,Simple Reflex,Sunny,Go Outside,0.8814,0.4336,0.547,0.3305,72.31,328.22,2,0.541,0.5832,0,57.92,Fully Observable,Static,Deterministic
4025,Smart Hospital Assistant,Learning,Windy,Use Wind Protection,0.8513,0.5891,0.6736,0.8234,54.08,363.45,5,0.6655,-1.7442,0,66.11,Partially Observable,Static,Stochastic
4026,Cybersecurity Monitoring Agent,Simple Reflex,Cloudy,Stay Inside,1,0.5097,0.5191,0.4248,60.9,113.98,7,0.6934,0.2202,0,56.75,Fully Observable,Static,Stochastic
4027,Cybersecurity Monitoring Agent,Learning,Cloudy,Stay Inside,,0.8756,0.3376,0.5699,42.8,191.07,7,0.3773,0.0329,0,67.3,Fully Observable,Static,Deterministic
4028,Autonomous Delivery Robot,Utility-Based,Windy,Use Wind Protection,1,0.3126,0.5183,0.5252,37.1,347.11,6,0.9078,2.0592,0,79.32,Partially Observable,Static,Deterministic
4029,Cybersecurity Monitoring Agent,Learning,Stormy,Stay Inside,0.9292,0.2209,0.2384,0.7508,49.52,206.52,2,0.588,0.4018,1,68.34,Partially Observable,Static,Deterministic
4030,AI Travel Assistant,Model-Based,Cloudy,Stay Inside,0.8334,0.5053,0.7735,0.3982,100,267.83,12,0.773,0.3131,0,62.84,Partially Observable,Dynamic,Stochastic
4031,Smart Hospital Assistant,Goal-Based,Rainy,Use Umbrella,0.8174,0.4751,0.1453,0.5179,95.3,360.78,11,0.8059,0.7652,0,64.29,Partially Observable,Static,Stochastic
4032,Warehouse Robot,Learning,Rainy,Use Umbrella,,0.1032,0.321,0.4792,66.29,371.5,8,0.6886,0.4775,1,92.39,Partially Observable,Dynamic,Stochastic
4033,Autonomous Delivery Robot,Simple Reflex,Snowy,Wear Winter Gear,0.8165,0.5566,0.0744,0.7213,74.89,219.01,2,0.6765,-0.9145,0,78.96,Partially Observable,Static,Deterministic
4034,Autonomous Delivery Robot,Model-Based,Snowy,Wear Winter Gear,0.8878,0.5185,0.4516,0.2605,77.08,101.69,3,0.486,0.0556,1,93.52,Fully Observable,Static,Deterministic
4035,AI Travel Assistant,Goal-Based,Cloudy,Stay Inside,0.8603,0.2613,0.3082,0.6817,49.07,323.9,12,0.8215,-0.6064,0,54.48,Fully Observable,Static,Deterministic
4036,Smart Hospital Assistant,Simple Reflex,Cloudy,Stay Inside,0.8848,0.3151,0.4625,0.4083,90.96,126.36,3,0.7958,-1.116,1,91.41,Fully Observable,Static,Stochastic
4037,Smart-Home Energy Agent,Goal-Based,Windy,Use Wind Protection,0.5912,0.7493,0.3582,0.2991,89.56,307.71,9,0.891,-1.51,0,43.81,Partially Observable,Dynamic,Deterministic
4038,Intelligent Tutoring System,Goal-Based,Sunny,Go Outside,1,0.5375,0.2522,0.2571,59.03,288.66,3,0.5822,-0.2106,1,78.82,Partially Observable,Static,Stochastic
4039,Warehouse Robot,Utility-Based,Snowy,Wear Winter Gear,0.7094,0.2095,0.5918,0.3986,84.21,212.22,7,0.753,-1.0512,1,80.71,Partially Observable,Static,Deterministic
4040,Smart-Home Energy Agent,Model-Based,Stormy,Stay Inside,0.7927,0.272,0.4184,0.2783,78.68,160.88,2,0.99,-0.4159,1,100,Partially Observable,Static,Deterministic
4041,Smart Hospital Assistant,Model-Based,Windy,Use Wind Protection,0.75,0.6326,0.2659,0.4919,60.9,305.75,14,0.4159,-1.1461,0,68.12,Fully Observable,Static,Stochastic
4042,Warehouse Robot,Goal-Based,Windy,Use Wind Protection,0.8286,0.2705,0.5304,0.3973,76.04,262.3,8,0.6802,-0.2517,0,52.07,Fully Observable,Dynamic,Stochastic
4043,Smart-Home Energy Agent,Utility-Based,Sunny,Go Outside,0.9197,0.4916,0.4039,0.4443,47.5,382.71,4,0.7288,1.245,1,66.73,Partially Observable,Static,Stochastic
4044,Autonomous Delivery Robot,Model-Based,Sunny,Go Outside,0.6313,0.3073,0.5613,0.6044,80.87,151.31,11,0.6594,-0.8252,0,80.15,Partially Observable,Dynamic,Deterministic
4045,Smart Hospital Assistant,Learning,Stormy,Stay Inside,,0.3793,0.474,0.3464,95.42,20,5,0.9188,1.573,1,100,Partially Observable,Dynamic,Deterministic
4046,Cybersecurity Monitoring Agent,Utility-Based,Rainy,Use Umbrella,0.8263,0.5575,0.1345,0.4988,66.93,322.1,4,0.7904,-1.4969,0,74.98,Partially Observable,Dynamic,Deterministic
4047,Smart-Home Energy Agent,Utility-Based,Windy,Use Wind Protection,0.7177,0.3836,0.4163,0.7879,100,215.19,3,0.9867,-0.9342,0,47.88,Fully Observable,Dynamic,Stochastic
4048,Smart-Home Energy Agent,Model-Based,Rainy,Use Umbrella,0.8598,0.3683,0.3364,0.2623,71.55,315.41,6,0.7125,-0.9739,1,84.72,Partially Observable,Static,Deterministic
4049,Autonomous Vehicle,Simple Reflex,Sunny,Go Outside,0.6414,0.3778,0.1121,0.5786,60.43,258.4,3,0.8047,-0.9391,0,82.75,Fully Observable,Static,Deterministic
4050,Smart-Home Energy Agent,Model-Based,Cloudy,Stay Inside,0.8027,0.2244,0.1445,0.5089,45.33,215.34,14,0.3004,1.2431,0,75.0,Fully Observable,Static,Stochastic
4051,Autonomous Delivery Robot,Goal-Based,Sunny,Go Outside,0.8564,0.4137,0.6206,0.3364,53.89,250.47,8,0.6048,0.6092,0,65.07,Fully Observable,Dynamic,Deterministic
4052,Intelligent Tutoring System,Utility-Based,Cloudy,Stay Inside,0.8352,0.3891,0.4658,0.1909,88.4,126.16,13,0.9361,1.9641,1,88.7,Fully Observable,Dynamic,Stochastic
4053,Autonomous Vehicle,Learning,Sunny,Go Outside,0.8902,0.4907,0.3355,0.3625,89.26,450.41,2,0.5334,0.716,1,72.91,Fully Observable,Dynamic,Deterministic
4054,Intelligent Tutoring System,Goal-Based,Cloudy,Stay Inside,0.9551,0.0576,0.5699,0.4196,68.83,371.0,10,0.9515,-1.3073,1,88.45,Partially Observable,Dynamic,Stochastic
4055,Cybersecurity Monitoring Agent,Goal-Based,Snowy,Wear Winter Gear,0.8512,0.2336,0.3445,0.1522,83.18,223.82,6,0.6745,-0.7376,1,87.37,Partially Observable,Dynamic,Deterministic
4056,Autonomous Vehicle,Learning,Windy,Use Wind Protection,0.9034,0.1564,0.5171,0.3267,87.5,47.34,5,0.653,2.6336,1,82.27,Fully Observable,Static,Stochastic
4057,Cybersecurity Monitoring Agent,Utility-Based,Stormy,Stay Inside,0.7486,0.3753,0.5019,0.2776,85.54,303.07,11,0.4585,-0.3781,0,83.37,Fully Observable,Static,Stochastic
4058,Autonomous Delivery Robot,Goal-Based,Windy,Use Wind Protection,0.75,0.7312,0.3492,0.6903,89.85,151.15,9,0.6712,-0.3998,0,72.65,Fully Observable,Static,Stochastic
4059,Autonomous Vehicle,Simple Reflex,Cloudy,Stay Inside,0.8629,0.1409,0.08,0.5827,89.5,98.83,13,0.6832,-1.358,1,84.19,Partially Observable,Static,Deterministic
4060,Autonomous Vehicle,Learning,Cloudy,Stay Inside,0.8183,0.5699,0.3965,0.6431,63.65,304.02,12,0.99,0.7657,0,74.32,Fully Observable,Static,Deterministic
4061,Cybersecurity Monitoring Agent,Learning,Windy,Use Wind Protection,0.9078,0.2679,0.569,0.2732,93.63,277.79,14,0.9517,-0.5491,1,82.76,Partially Observable,Dynamic,Stochastic
4062,Warehouse Robot,Goal-Based,Stormy,Stay Inside,0.8184,0.4691,0.1696,0.0887,43.52,153.59,10,0.6009,-1.014,1,94.54,Fully Observable,Static,Stochastic
4063,Autonomous Vehicle,Learning,Snowy,Wear Winter Gear,0.7101,0.7434,0.3836,0.3886,57.47,127.21,9,0.676,0.3887,0,63.62,Partially Observable,Dynamic,Deterministic
4064,Warehouse Robot,Learning,Sunny,Go Outside,0.6913,0.6485,0.757,0.038,71.24,155.0,9,0.5529,-1.1894,0,78.42,Fully Observable,Dynamic,Deterministic
4065,Smart Hospital Assistant,Simple Reflex,Stormy,Stay Inside,0.9939,0.0704,0.3443,0.4095,84.1,46.05,6,0.6301,-0.5608,0,60.7,Partially Observable,Dynamic,Stochastic
4066,Smart-Home Energy Agent,Learning,Windy,Use Wind Protection,0.6942,0.7141,0.3192,0.6508,61.0,98.83,5,0.99,-0.5531,1,92.05,Partially Observable,Static,Deterministic
4067,Autonomous Delivery Robot,Learning,Snowy,Wear Winter Gear,0.7706,0.7538,0.5852,0.3028,58.85,145.56,13,0.9253,-0.768,0,66.49,Partially Observable,Dynamic,Deterministic
4068,Intelligent Tutoring System,Model-Based,Sunny,Go Outside,0.9314,0.1103,0.1427,0.5032,96.82,264.5,8,0.9434,-0.0324,1,100,Fully Observable,Dynamic,Stochastic
4069,Smart-Home Energy Agent,Learning,Windy,Use Wind Protection,0.8207,0.0742,0.1088,0.1486,49.24,355.63,6,0.6343,0.5803,1,100,Fully Observable,Dynamic,Deterministic
4070,Autonomous Vehicle,Learning,Windy,Use Wind Protection,0.8056,0.8313,0.3592,0.5909,94.96,169.54,3,0.7642,0.2879,0,57.44,Fully Observable,Dynamic,Deterministic
4071,AI Travel Assistant,Model-Based,Cloudy,Stay Inside,0.7252,0.5631,0.4988,0.4315,28.56,148.71,4,0.9187,-1.0494,0,78.78,Partially Observable,Static,Stochastic
4072,AI Travel Assistant,Learning,Windy,Use Wind Protection,0.8148,0.6965,0.3029,0.6724,89.85,206.98,4,0.8557,-0.6873,0,51.29,Partially Observable,Static,Deterministic
4073,Cybersecurity Monitoring Agent,Goal-Based,Snowy,Wear Winter Gear,0.9545,0.2194,0.2988,0.3511,81.8,189.43,7,0.9507,-1.3339,1,100,Partially Observable,Dynamic,Stochastic
4074,Autonomous Delivery Robot,Utility-Based,Snowy,Wear Winter Gear,0.7521,0.6903,0.298,0.4856,55.33,221.71,3,0.5844,0.8259,0,58.19,Partially Observable,Static,Deterministic
4075,Cybersecurity Monitoring Agent,Goal-Based,Sunny,Go Outside,0.7835,0.5858,0.3263,0.3316,87.76,95.31,5,0.6645,1.4358,1,76.98,Partially Observable,Dynamic,Stochastic
4076,Autonomous Vehicle,Goal-Based,Windy,Use Wind Protection,0.9965,0.5615,0.7792,0.4192,87.67,227.91,11,0.9069,-1.2547,1,89.64,Fully Observable,Dynamic,Deterministic
4077,Autonomous Delivery Robot,Goal-Based,Rainy,Use Umbrella,0.8453,0.7232,0.2231,0.7879,96.6,170.09,4,0.3991,-0.8454,0,66.41,Fully Observable,Static,Stochastic
4078,AI Travel Assistant,Utility-Based,Snowy,Wear Winter Gear,0.821,0.4129,0.4967,0.7415,78.32,466.51,6,0.7234,2.536,0,73.31,Partially Observable,Static,Stochastic
4079,Autonomous Vehicle,Model-Based,Cloudy,Stay Inside,0.7143,0.6192,0.067,0.8059,65.21,215.57,5,0.6988,0.3339,0,49.18,Partially Observable,Dynamic,Deterministic
4080,AI Travel Assistant,Model-Based,Stormy,Stay Inside,0.7688,0.2069,0.1266,0.3587,93.69,194.48,8,0.8418,-0.0177,1,100,Fully Observable,Dynamic,Deterministic
4081,AI Travel Assistant,Simple Reflex,Rainy,Use Umbrella,,0.4431,0.5965,0.5591,92.22,295.39,12,0.9038,-0.4433,0,57.1,Fully Observable,Dynamic,Stochastic
4082,Smart Hospital Assistant,Goal-Based,Rainy,Use Umbrella,0.9307,0.1793,0.3021,0.4125,76.26,235.67,13,0.4569,-0.2288,1,76.3,Partially Observable,Static,Stochastic
4083,Autonomous Vehicle,Learning,Rainy,Use Umbrella,0.946,0.2393,0.1835,0.6188,74.96,175.47,8,0.6697,-1.1814,1,100,Partially Observable,Static,Stochastic
4084,Autonomous Vehicle,Utility-Based,Stormy,Stay Inside,0.7168,0.1971,0.0557,0.4803,94.99,95.77,10,0.9367,2.5461,1,92.67,Partially Observable,Dynamic,Stochastic
4085,Smart-Home Energy Agent,Learning,Cloudy,Stay Inside,0.6982,0.2534,0.1234,0.4596,58.56,342.07,14,0.6253,-1.3848,1,92.44,Fully Observable,Static,Stochastic
4086,Autonomous Delivery Robot,Learning,Cloudy,Stay Inside,0.9718,0.1494,0.2254,0.9575,94.69,289.31,7,0.9151,-1.687,1,100,Partially Observable,Dynamic,Stochastic
4087,Warehouse Robot,Model-Based,Cloudy,Stay Inside,0.7061,0.3242,0.5019,0.341,100,122.57,2,0.8611,-0.0479,1,97.13,Fully Observable,Dynamic,Deterministic
4088,Smart-Home Energy Agent,Goal-Based,Snowy,Wear Winter Gear,0.733,0.535,0.2713,0.6117,62.39,182.23,9,0.8218,0.1685,0,55.5,Fully Observable,Dynamic,Deterministic
4089,Smart-Home Energy Agent,Utility-Based,Sunny,Go Outside,0.7578,0.2181,0.3278,0.7219,98.16,242.33,8,0.416,-1.4262,1,72.89,Partially Observable,Dynamic,Stochastic
4090,Smart-Home Energy Agent,Goal-Based,Sunny,Go Outside,0.8493,0.0349,0.5677,0.3306,57.42,161.03,12,0.4397,-0.0452,1,83.4,Partially Observable,Static,Deterministic
4091,Autonomous Delivery Robot,Goal-Based,Sunny,Go Outside,0.8376,0.4476,0.3748,0.5469,100,182.09,5,0.4574,0.1133,0,70.42,Partially Observable,Static,Stochastic
4092,Smart-Home Energy Agent,Goal-Based,Sunny,Go Outside,0.8563,0.2116,0.3806,0.8795,68.06,186.28,7,0.8635,-0.5287,0,74.45,Partially Observable,Static,Deterministic
4093,Autonomous Vehicle,Learning,Snowy,Wear Winter Gear,0.6166,0.2862,0.3829,0.1767,69.62,115.88,9,0.7746,-0.1854,1,96.7,Partially Observable,Static,Stochastic
4094,Warehouse Robot,Goal-Based,Cloudy,Stay Inside,0.7231,0.2043,0.2925,0.8022,46.4,81.29,8,0.7384,-1.8764,0,39.06,Fully Observable,Static,Stochastic
4095,AI Travel Assistant,Learning,Sunny,Go Outside,0.7135,0.4144,0.1633,0.4886,84.32,214.5,10,0.5783,-0.5269,1,86.73,Partially Observable,Static,Stochastic
4096,Smart-Home Energy Agent,Model-Based,Snowy,Wear Winter Gear,0.937,0.0245,0.0677,0.4289,71.34,205.36,13,0.7116,0.9209,1,100,Fully Observable,Dynamic,Stochastic
4097,Autonomous Vehicle,Learning,Cloudy,Stay Inside,0.883,0.1564,0.4664,0.5772,45.74,245.39,4,0.9276,0.0746,0,74.14,Fully Observable,Static,Deterministic
4098,Cybersecurity Monitoring Agent,Simple Reflex,Cloudy,Stay Inside,0.8758,0.2673,0.4373,0.6459,77.13,142.77,2,0.7628,-0.9186,0,66.51,Fully Observable,Dynamic,Deterministic
4099,Warehouse Robot,Simple Reflex,Cloudy,Stay Inside,0.8623,0.2431,0.0801,0.1387,87.36,61.0,14,0.3954,0.469,1,92.68,Partially Observable,Dynamic,Stochastic
4100,Intelligent Tutoring System,Goal-Based,Sunny,Go Outside,0.8956,0.3646,0.0989,0.5051,58.42,301.13,7,0.6363,-0.5722,1,89.4,Partially Observable,Dynamic,Stochastic
4101,Autonomous Delivery Robot,Simple Reflex,Cloudy,Stay Inside,0.8455,0.0632,0.2167,0.7439,59.25,199.41,4,0.6884,-0.8942,0,87.73,Partially Observable,Static,Deterministic
4102,Autonomous Vehicle,Learning,Rainy,Use Umbrella,0.7549,0.2481,0.2863,0.5341,86.28,195.91,4,0.99,0.1501,1,100,Partially Observable,Dynamic,Stochastic
4103,Autonomous Vehicle,Goal-Based,Windy,Use Wind Protection,0.8314,0.0718,0.4219,0.5631,94.05,335.92,12,0.8645,-0.9311,1,88.72,Fully Observable,Dynamic,Stochastic
4104,Smart Hospital Assistant,Learning,Rainy,Use Umbrella,0.9925,0.1053,0.3123,0.8467,47.91,159.4,9,0.5709,0.3385,0,67.61,Fully Observable,Dynamic,Deterministic
4105,Intelligent Tutoring System,Model-Based,Windy,Use Wind Protection,0.9312,0.3479,0.6149,0.7079,52.17,119.42,10,0.46,-0.4279,1,74.87,Partially Observable,Dynamic,Stochastic
4106,Warehouse Robot,Goal-Based,Snowy,Wear Winter Gear,0.8191,0.2476,0.2777,0.1324,80.91,273.43,14,0.7272,-0.7353,1,91.62,Partially Observable,Dynamic,Stochastic
4107,Warehouse Robot,Learning,Stormy,Stay Inside,0.8313,0.1278,0.5993,0.201,58.55,108.43,3,0.8467,3.2616,1,100,Fully Observable,Static,Deterministic
4108,Warehouse Robot,Utility-Based,Cloudy,Stay Inside,0.9387,0.1876,0.2724,0.3351,42.32,194.61,3,0.7697,-0.1892,1,100,Partially Observable,Dynamic,Stochastic
4109,AI Travel Assistant,Learning,Windy,Use Wind Protection,0.919,0.3104,0.3838,0.7208,100,225.12,5,0.3703,-0.4631,0,63.26,Partially Observable,Dynamic,Stochastic
4110,Autonomous Delivery Robot,Goal-Based,Stormy,Stay Inside,1,0.4494,0.537,0.5858,44.35,178.06,10,0.701,0.3462,0,68.59,Partially Observable,Static,Deterministic
4111,Smart Hospital Assistant,Goal-Based,Stormy,Stay Inside,,0.3368,0.2065,0.6089,100,,11,0.5115,-1.2859,1,80.53,Partially Observable,Static,Deterministic
4112,Autonomous Delivery Robot,Utility-Based,Windy,Use Wind Protection,0.8936,0.1161,0.7162,0.3388,77.14,276.89,12,0.9429,-1.6315,1,71.03,Fully Observable,Static,Stochastic
4113,Cybersecurity Monitoring Agent,Simple Reflex,Stormy,Stay Inside,1,0.0768,0.2586,0.524,71.11,202.63,8,0.9151,0.2774,1,90.81,Partially Observable,Static,Deterministic
4114,Cybersecurity Monitoring Agent,Goal-Based,Sunny,Go Outside,0.801,0.2875,0.2656,0.5799,78.44,151.87,8,0.6097,-2.3729,0,70.05,Fully Observable,Static,Stochastic
4115,Smart Hospital Assistant,Model-Based,Sunny,Go Outside,0.744,0.169,0.2665,0.2897,96.37,184.37,7,0.6697,-0.0424,1,77.71,Partially Observable,Dynamic,Deterministic
4116,Smart-Home Energy Agent,Goal-Based,Windy,Use Wind Protection,0.9169,0.7319,0.4297,0.3279,85.24,217.55,12,0.7076,-0.5904,0,74.59,Fully Observable,Dynamic,Stochastic
4117,Smart Hospital Assistant,Utility-Based,Snowy,Wear Winter Gear,0.7582,0.3394,0.5452,0.3093,68.29,361.39,3,0.6974,0.0292,1,83.75,Partially Observable,Dynamic,Deterministic
4118,Autonomous Delivery Robot,Model-Based,Snowy,Wear Winter Gear,0.6944,0.0667,0.1985,0.672,67.42,225.02,10,0.8131,0.5732,0,64.76,Fully Observable,Static,Deterministic
4119,Autonomous Vehicle,Learning,Windy,Use Wind Protection,0.8208,0.4558,0.3189,0.331,32.73,132.68,12,0.5921,-0.5492,0,74.83,Fully Observable,Dynamic,Deterministic
4120,Smart-Home Energy Agent,Utility-Based,Stormy,Stay Inside,,0.4166,0.2032,0.4373,80.0,216.31,13,0.6809,0.2066,0,76.17,Fully Observable,Static,Stochastic
4121,Warehouse Robot,Model-Based,Windy,Use Wind Protection,0.8289,0.5083,0.5424,0.1712,73.06,151.75,10,0.7742,0.1047,1,78.1,Partially Observable,Static,Stochastic
4122,Cybersecurity Monitoring Agent,Model-Based,Windy,Use Wind Protection,0.8301,0.7224,0.4304,0.5816,95.89,148.29,3,0.8238,-0.586,0,77.24,Partially Observable,Dynamic,Stochastic
4123,AI Travel Assistant,Utility-Based,Snowy,Wear Winter Gear,0.6863,0.1587,0.2897,0.4214,46.54,,10,0.8763,-0.3926,1,97.54,Fully Observable,Dynamic,Deterministic
4124,Smart Hospital Assistant,Utility-Based,Sunny,Go Outside,0.8321,0.7086,0.1472,0.6084,87.0,66.82,6,0.9778,-0.057,1,59.49,Partially Observable,Static,Stochastic
4125,Smart Hospital Assistant,Simple Reflex,Stormy,Stay Inside,0.9562,0.4147,0.2862,0.9265,91.1,168.28,4,0.9048,0.0625,0,57.3,Partially Observable,Static,Stochastic
4126,Smart-Home Energy Agent,Model-Based,Sunny,Go Outside,0.6698,0.3885,0.1872,0.2924,89.46,262.81,11,0.7407,-0.6415,0,71.84,Fully Observable,Static,Deterministic
4127,Autonomous Vehicle,Model-Based,Stormy,Stay Inside,,0.2847,0.3318,0.4432,42.37,236.75,5,0.99,-0.6783,0,46.3,Partially Observable,Dynamic,Deterministic
4128,Smart-Home Energy Agent,Utility-Based,Cloudy,Stay Inside,0.9187,0.267,0.1766,0.2014,44.3,255.93,12,0.667,0.8384,1,100,Fully Observable,Static,Deterministic
4129,Smart Hospital Assistant,Learning,Cloudy,Stay Inside,1,0.2966,0.5074,0.2482,73.55,280.22,8,0.6921,0.3821,1,88.27,Partially Observable,Dynamic,Stochastic
4130,AI Travel Assistant,Model-Based,Rainy,Use Umbrella,0.8756,0.1347,0.2584,0.4872,38.4,156.11,5,0.77,0.9447,0,61.86,Partially Observable,Static,Stochastic
4131,Smart Hospital Assistant,Simple Reflex,Windy,Use Wind Protection,0.9735,0.539,0.5659,0.3569,73.12,70.18,6,0.8118,-1.3421,1,90.73,Fully Observable,Dynamic,Stochastic
4132,Intelligent Tutoring System,Utility-Based,Sunny,Go Outside,0.7053,0.118,0.3071,0.1552,53.23,204.32,14,0.99,-1.0703,1,100,Fully Observable,Dynamic,Deterministic
4133,Cybersecurity Monitoring Agent,Model-Based,Rainy,Use Umbrella,0.8558,0.396,0.4633,0.5752,49.34,176.37,10,0.8716,-0.056,1,95.87,Fully Observable,Static,Stochastic
4134,Autonomous Delivery Robot,Goal-Based,Windy,Use Wind Protection,0.7197,0.0911,0.363,0.7577,82.43,348.88,3,0.9278,1.787,0,78.95,Partially Observable,Dynamic,Stochastic
4135,AI Travel Assistant,Learning,Stormy,Stay Inside,0.8754,0.532,0.6058,0.348,65.44,225.72,7,0.8911,-0.5868,0,74.59,Partially Observable,Dynamic,Stochastic
4136,AI Travel Assistant,Model-Based,Windy,Use Wind Protection,0.6885,0.285,0.2304,0.3645,43.12,260.99,14,0.8437,-1.0179,1,72.7,Fully Observable,Static,Deterministic
4137,Smart Hospital Assistant,Learning,Snowy,Wear Winter Gear,0.7346,0.3861,0.3461,0.4885,99.99,143.96,6,0.7463,1.0308,0,53.07,Fully Observable,Static,Stochastic
4138,AI Travel Assistant,Goal-Based,Snowy,Wear Winter Gear,1,0.349,0.2291,0.6147,74.28,152.52,8,0.7809,0.9155,1,92.14,Fully Observable,Dynamic,Deterministic
4139,Autonomous Vehicle,Simple Reflex,Windy,Use Wind Protection,0.9393,0.3159,0.3931,0.0973,47.23,324.63,12,0.435,-1.6761,1,79.06,Fully Observable,Static,Deterministic
4140,AI Travel Assistant,Model-Based,Cloudy,Stay Inside,0.8813,0.1597,0.2022,0.4785,81.56,276.72,7,0.7772,0.5118,1,93.89,Fully Observable,Static,Stochastic
4141,Cybersecurity Monitoring Agent,Learning,Snowy,Wear Winter Gear,0.9758,0.6508,0.2771,0.0228,67.84,309.69,2,0.7093,0.2338,1,100,Fully Observable,Dynamic,Deterministic
4142,Warehouse Robot,Learning,Stormy,Stay Inside,0.8392,0.3965,0.1676,0.3351,91.33,175.6,9,0.9034,0.1589,1,100,Fully Observable,Static,Stochastic
4143,Smart Hospital Assistant,Model-Based,Snowy,Wear Winter Gear,0.6884,0.0552,0.6791,0.6831,53.14,373.83,5,0.8024,1.3147,0,49.0,Partially Observable,Dynamic,Stochastic
4144,Warehouse Robot,Learning,Cloudy,Stay Inside,0.7759,0.3888,0.1477,0.3782,64.83,202.32,13,0.8534,-1.301,1,98.61,Fully Observable,Dynamic,Deterministic
4145,Intelligent Tutoring System,Utility-Based,Windy,Use Wind Protection,0.9714,0.4175,0.365,0.5782,72.05,146.23,6,0.99,-1.0149,1,98.46,Fully Observable,Static,Deterministic
4146,Cybersecurity Monitoring Agent,Model-Based,Cloudy,Stay Inside,0.8712,0.3579,0.3369,0.1588,52.86,266.93,3,0.831,0.6497,0,70.75,Partially Observable,Static,Stochastic
4147,Smart-Home Energy Agent,Simple Reflex,Snowy,Wear Winter Gear,0.9275,0.4315,0.386,0.4966,48.7,132.78,4,0.6933,1.8979,0,67.57,Fully Observable,Dynamic,Deterministic
4148,Smart Hospital Assistant,Learning,Windy,Use Wind Protection,0.8345,0.6303,0.2821,0.275,66.72,52.85,3,0.8763,0.4703,1,97.24,Partially Observable,Dynamic,Deterministic
4149,AI Travel Assistant,Learning,Sunny,Go Outside,0.8692,0.4645,0.2378,0.449,60.99,305.82,10,0.6561,-0.8431,1,81.62,Partially Observable,Static,Stochastic
4150,Autonomous Delivery Robot,Simple Reflex,Snowy,Wear Winter Gear,0.7965,0.1164,0.3213,0.7181,62.43,158.32,13,0.6274,0.902,0,35.31,Partially Observable,Static,Stochastic
4151,Smart-Home Energy Agent,Learning,Cloudy,Stay Inside,0.8253,0.677,0.5944,0.4214,83.66,185.0,7,0.4752,0.4181,0,55.03,Partially Observable,Static,Deterministic
